,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,SBSTC-ASANSOL - KARUNAMOYEE - A/C - 06:45 (ASN DEPOT) - 1131,AC Seater (2+2),08:00,12:00,04h 00m,INR 300,31 Seats available,"3.9
136",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1,SBSTC-DURGAPUR - KOLKATA - 08:00 (DGP DEPOT) - 128,Non AC Seater (2+3),08:00,11:30,03h 30m,INR 150,50 Seats available,"3.4
50",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
2,SBSTC-CHITTARANJAN - HALDIA - VIA - KOLKATA - 05:40 - 199,Non AC Seater (2+3),08:20,13:30,05h 10m,INR 150,49 Seats available,"2.9
13",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
3,SBSTC-ASANSOL - KARUNAMOYEE - 07:35 (ASN DEPOT) - 152,Non AC Seater (2+3),08:45,12:45,04h 00m,INR 155,50 Seats available,"2.6
48",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
4,SBSTC-BANKURA - KOLKATA - 07:05 (BNK DEPOT) - 223,Non AC Seater (2+3),08:50,12:20,03h 30m,INR 150,52 Seats available,"4.5
6",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
5,SBSTC-ASANSOL - KOLKATA - 07:50 (ASANSOL DEPOT) - 144,Non AC Seater (2+3),09:00,12:30,03h 30m,INR 150,52 Seats available,"3.6
23",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
6,SBSTC-ASANSOL - HALDIA - VIA - KOLKATA - 08:05 (HLD DEPO - 744,Non AC Seater (2+3),09:15,14:45,05h 30m,INR 150,51 Seats available,3.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
7,SBSTC-BANKURA - KARUNAMOYEE - 07:30 (BNK DEPOT) - 237,Non AC Seater (2+3),09:20,13:20,04h 00m,INR 155,52 Seats available,"4.4
58",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
8,SBSTC-DURGAPUR - KOLKATA - 09:30 (DGP DEPOT) - 129,Non AC Seater (2+3),09:30,13:00,03h 30m,INR 150,52 Seats available,"3.9
23",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
9,SBSTC-PURULIA-KOLKATA -06:10 (VIA ASN) PRL DEPOT - 200,Non AC Seater (2+3),09:45,13:15,03h 30m,INR 150,51 Seats available,3.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
10,Greenline (Karunamoyee),Volvo A/C Seater (2+2),07:10,10:15,03h 05m,INR 486,19 Seats available,"4.3
199",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
11,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),07:25,10:40,03h 15m,INR 486,3 Seats available,"4.0
266",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
12,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),07:30,10:45,03h 15m,INR 486,4 Seats available,"3.9
103",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
13,Greenline,Volvo 9600 Multi Axle Semi-Sleeper (2+2),08:10,11:00,02h 50m,INR 486,34 Seats available,"4.2
121",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
14,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),08:30,11:10,02h 40m,INR 486,30 Seats available,"4.2
166",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
15,SBSTC-HALDIA - KOLKATA - 08.00 (HALDIA DEPOT) - 632,Non AC Seater (2+3),08:00,11:00,03h 00m,INR 110,52 Seats available,"3.8
66",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
16,SBSTC-HALDIA - KOLKATA - A/C - 08:30 (Haldia Depot) - 1014,AC Seater (2+2),08:30,11:30,03h 00m,INR 210,37 Seats available,"4.2
101",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
17,SBSTC-HALDIA - KOLKATA - 09:00 (Haldia Depot) - 1329,Non AC Seater (2+3),09:00,12:00,03h 00m,INR 110,52 Seats available,"3.7
42",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
18,SBSTC-HALDIA - ASANSOL - VIA - KOLKATA - 09:30 (HLD DEPO - 1763,Non AC Seater (2+3),09:30,13:45,04h 15m,INR 110,52 Seats available,"2.6
13",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
19,SBSTC-HALDIA - KOLKATA - ALL STOP - 10:00 (BEL DEPOT) - 633,Non AC Seater (2+3),10:00,13:00,03h 00m,INR 110,52 Seats available,"3.6
69",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
20,SBSTC-HALDIA - KOLKATA - 11:00 (Haldia Depot) - 1331,Non AC Seater (2+3),11:00,14:00,03h 00m,INR 110,52 Seats available,"3.0
33",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
21,SBSTC-HALDIA - KOLKATA - A/C - 11:35 (Haldia Depot) - 1530,AC Seater (2+2),11:35,14:35,03h 00m,INR 210,37 Seats available,"3.3
42",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
22,SBSTC-HALDIA - KOLKATA - 12:00 (Belgharia Depot) - 3630,Non AC Seater (2+3),12:00,15:00,03h 00m,INR 110,52 Seats available,"3.3
39",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
23,SBSTC-HALDIA - KOLKATA - 12:20 (HWH DEPOT) - 1092,Non AC Seater (2+3),12:20,15:20,03h 00m,INR 110,51 Seats available,"3.8
31",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
24,SBSTC-HALDIA - KOLKATA - 13:00 (Haldia Depot) - 635,Non AC Seater (2+3),13:00,16:00,03h 00m,INR 110,52 Seats available,"4.2
11",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
25,SBSTC-HALDIA - KOLKATA - ALL STOP - 13:30 (Haldia Depot) - 629,Non AC Seater (2+3),13:30,16:30,03h 00m,INR 110,52 Seats available,"3.9
95",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
26,SBSTC-HALDIA - KOLKATA - 14:00 (Haldia Depot) - 640,Non AC Seater (2+3),14:00,17:00,03h 00m,INR 110,52 Seats available,"4.0
145",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
27,SBSTC-HALDIA - KOLKATA - 15:00 (Haldia Depot) - 641,Non AC Seater (2+3),15:00,18:00,03h 00m,INR 110,52 Seats available,"4.2
199",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
28,SBSTC-HALDIA - KOLKATA - 16:05 (HALDIA DEPOT) - 1328,Non AC Seater (2+3),16:05,19:05,03h 00m,INR 110,50 Seats available,"3.5
203",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
29,SBSTC-HALDIA - KOLKATA - ALL STOP - 17:30 (HLD DEPOT) - 630,Non AC Seater (2+3),17:30,20:30,03h 00m,INR 110,52 Seats available,"3.7
207",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
30,WBTC (CTC) Habra- Barasat- Haldia - 180|16:45,Non AC Seater (2+3),16:45,19:30,02h 45m,INR 97,49 Seats available,"3.9
60",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
31,SBSTC-KOLKATA - ASANSOL - 07:45 (HOWRAH DEPOT) - 761,Non AC Seater (2+3),07:45,11:15,03h 30m,INR 150,22 Seats available,"1.4
19",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
32,SBSTC-KARUNAMOYEE - ASANSOL - VOLVO - 07:50 (BEL DEPOT) - 3957,Volvo AC Seater (2+2),07:50,11:50,04h 00m,INR 360,49 Seats available,"4.0
6",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
33,SBSTC-KARUNAMOYEE - ASANSOL - 08:00 (BEL DEPOT) - 308,Non AC Seater (2+3),08:00,11:45,03h 45m,INR 155,44 Seats available,"3.6
91",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
34,SBSTC-KOLKATA - ASANSOL - VOLVO - 08:00 (BEL DEPOT) - 3292,Volvo AC Seater (2+2),08:00,11:30,03h 30m,INR 360,53 Seats available,3.7,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
35,SBSTC-KOLKATA - ASANSOL - 08:15 (HOWRAH DEPOT) - 276,Non AC Seater (2+3),08:15,11:45,03h 30m,INR 150,44 Seats available,"3.4
31",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
36,SBSTC-KOLKATA - BAGMUNDI - 08:30 (BEL DEPOT) - 480,Non AC Seater (2+3),08:30,12:40,04h 10m,INR 150,49 Seats available,3.7,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
37,SBSTC-HALDIA - CHITTARANJAN - VIA - KOLKATA - 05:00 - 278,Non AC Seater (2+3),08:45,12:00,03h 15m,INR 150,51 Seats available,"4.2
18",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
38,SBSTC-KARUNAMOYEE - ASANSOL - 09:00 (BEL DEPOT) - 309,Non AC Seater (2+3),09:00,12:45,03h 45m,INR 155,52 Seats available,"4.5
78",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
39,SBSTC-KOLKATA - DURGAPUR - 09:15 (DGP DEPOT) - 164,Non AC Seater (2+3),09:15,12:45,03h 30m,INR 150,52 Seats available,"2.6
22",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
40,SBSTC-KARUNAMOYEE - DURGAPUR - 09:30 (DGP DEPOT) - 485,Non AC Seater (2+3),09:30,13:15,03h 45m,INR 155,50 Seats available,"3.1
81",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
41,SBSTC-KOLKATA - ASANSOL - 09:45 (HOWRAH DEPOT) - 280,Non AC Seater (2+3),09:45,13:15,03h 30m,INR 150,52 Seats available,"2.9
15",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
42,SBSTC-KOLKATA - DURGAPUR - 10:00 (DGP DEPOT) - 165,Non AC Seater (2+3),10:00,13:30,03h 30m,INR 150,52 Seats available,"3.7
22",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
43,SBSTC-KOLKATA - ASANSOL - 10:30 (HOWRAH DEPOT) - 763,Non AC Seater (2+3),10:30,14:00,03h 30m,INR 150,52 Seats available,"3.7
18",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
44,SBSTC-BELDA - ASANSOL - VIA - KOLKATA - 06:00 (ASN DEPOT - 3990,Non AC Seater (2+3),10:45,15:00,04h 15m,INR 150,52 Seats available,3.7,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
45,SBSTC-KOLKATA - PURULIA - VIA - ASN - 11:00 (HWH DEPOT) - 2681,Non AC Seater (2+3),11:00,14:30,03h 30m,INR 150,52 Seats available,"2.7
5",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
46,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),07:10,10:30,03h 20m,INR 486,32 Seats available,"4.4
342",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
